Machine Module,SSA3021X
Y Axis Scale,LOG
Y Axis Unit,dBm
Impedance,50
Number of Points,751
Sweep Time(s),0.048000,Auto
Start Frequency,+1.155000000e+09
Stop Frequency,+1.655000000e+09
Offset Frequency,+0.000000000e+00
Average Type,Log Pwr
RBW,1000000.000000,Auto
VBW,1000000.000000,Auto
Sweep Type,Continuous
Sweep Mode,Auto
Sweep Rule,Speed
PreAmp State,ON
Ref Level,-4.000000000e+01
Attenuation,1,Manual
Trigger Source,FreeRun
Trigger Level,+0.000000000e+00
External Trigger Edge,FALL
Video Trigger Edge,FALL
Marker Information
Marker,Trace,Type,X Axis,Amplitude
Trace Math,0
Trace Variable X,Trace A
Trace Variable Y,Trace B
Trace Variable Z,Trace C
Trace Name,Trace A,Trace B,Trace C,Trace D
Trace Type,View,View,View,View
Trace Detector,Pos Peak,Pos Peak,Pos Peak,Pos Peak
Trace Data
1.285000e+09,-8.443130e+01,-8.534457e+01,-7.904239e+01,-8.056021e+01
1.285667e+09,-8.370544e+01,-8.484303e+01,-7.878952e+01,-8.075546e+01
1.286333e+09,-8.312654e+01,-8.410988e+01,-7.885511e+01,-8.071258e+01
1.287000e+09,-8.238061e+01,-8.359999e+01,-7.884462e+01,-8.092157e+01
1.287667e+09,-8.142239e+01,-8.298898e+01,-7.871703e+01,-8.042631e+01
1.288333e+09,-8.070133e+01,-8.251084e+01,-7.855254e+01,-8.039273e+01
1.289000e+09,-8.085543e+01,-8.194367e+01,-7.894333e+01,-8.044611e+01
1.289667e+09,-8.042315e+01,-8.164004e+01,-7.871427e+01,-8.035962e+01
1.290333e+09,-8.078572e+01,-8.135500e+01,-7.884653e+01,-8.000906e+01
1.291000e+09,-8.158774e+01,-8.216056e+01,-7.898859e+01,-7.985871e+01
1.291667e+09,-8.263371e+01,-8.307780e+01,-7.888030e+01,-8.012046e+01
1.292333e+09,-8.384242e+01,-8.415891e+01,-7.908178e+01,-8.000811e+01
1.293000e+09,-8.485488e+01,-8.503094e+01,-7.926874e+01,-8.035568e+01
1.293667e+09,-8.507154e+01,-8.583658e+01,-7.943084e+01,-8.040959e+01
1.294333e+09,-8.534444e+01,-8.573623e+01,-7.922933e+01,-8.021191e+01
1.295000e+09,-8.490168e+01,-8.567152e+01,-7.934295e+01,-8.032083e+01
1.295667e+09,-8.503620e+01,-8.567435e+01,-7.935564e+01,-8.043937e+01
1.296333e+09,-8.478898e+01,-8.529519e+01,-7.953569e+01,-8.023035e+01
1.297000e+09,-8.498655e+01,-8.554606e+01,-7.938724e+01,-8.022054e+01
1.297667e+09,-8.526879e+01,-8.560879e+01,-7.949120e+01,-7.992995e+01
1.298333e+09,-8.599938e+01,-8.580737e+01,-7.957786e+01,-7.970142e+01
1.299000e+09,-8.563522e+01,-8.611839e+01,-7.960113e+01,-8.010429e+01
1.299667e+09,-8.611889e+01,-8.582709e+01,-7.983128e+01,-8.012322e+01
1.300333e+09,-8.597186e+01,-8.595092e+01,-7.996481e+01,-8.003916e+01
1.301000e+09,-8.556972e+01,-8.586613e+01,-8.000083e+01,-7.997075e+01
1.301667e+09,-8.582063e+01,-8.581114e+01,-7.999197e+01,-8.034536e+01
1.302333e+09,-8.587878e+01,-8.593441e+01,-7.976447e+01,-8.011724e+01
1.303000e+09,-8.586122e+01,-8.565477e+01,-7.971551e+01,-8.018188e+01
1.303667e+09,-8.588092e+01,-8.583067e+01,-7.988734e+01,-7.984303e+01
1.304333e+09,-8.587672e+01,-8.587613e+01,-7.976846e+01,-7.988974e+01
1.305000e+09,-8.582248e+01,-8.567013e+01,-7.971912e+01,-7.970261e+01
1.305667e+09,-8.591840e+01,-8.571754e+01,-7.938739e+01,-7.957797e+01
1.306333e+09,-8.603186e+01,-8.599609e+01,-7.930992e+01,-7.960245e+01
1.307000e+09,-8.578062e+01,-8.594511e+01,-7.911391e+01,-7.964150e+01
1.307667e+09,-8.574784e+01,-8.572941e+01,-7.914798e+01,-7.986976e+01
1.308333e+09,-8.594400e+01,-8.574979e+01,-7.894592e+01,-7.966542e+01
1.309000e+09,-8.549943e+01,-8.598972e+01,-7.889630e+01,-7.979565e+01
1.309667e+09,-8.540971e+01,-8.599746e+01,-7.926646e+01,-7.978305e+01
1.310333e+09,-8.571255e+01,-8.590695e+01,-7.904668e+01,-7.941678e+01
1.311000e+09,-8.544365e+01,-8.585012e+01,-7.920860e+01,-7.950684e+01
1.311667e+09,-8.548460e+01,-8.567437e+01,-7.888780e+01,-7.930092e+01
1.312333e+09,-8.529049e+01,-8.591375e+01,-7.876298e+01,-7.925464e+01
1.313000e+09,-8.541372e+01,-8.539503e+01,-7.888076e+01,-7.931431e+01
1.313667e+09,-8.563558e+01,-8.529384e+01,-7.886481e+01,-7.885197e+01
1.314333e+09,-8.528212e+01,-8.525585e+01,-7.908307e+01,-7.874043e+01
1.315000e+09,-8.547372e+01,-8.515482e+01,-7.937749e+01,-7.900263e+01
1.315667e+09,-8.546322e+01,-8.560102e+01,-7.867243e+01,-7.898125e+01
1.316333e+09,-8.528291e+01,-8.551456e+01,-7.901396e+01,-7.902812e+01
1.317000e+09,-8.543030e+01,-8.541105e+01,-7.901149e+01,-7.897554e+01
