Machine Module,SSA3021X
Y Axis Scale,LOG
Y Axis Unit,dBm
Impedance,50
Number of Points,751
Sweep Time(s),0.072000,Auto
Start Frequency,+1.030000000e+09
Stop Frequency,+1.780000000e+09
Offset Frequency,+0.000000000e+00
Average Type,Log Pwr
RBW,1000000.000000,Auto
VBW,1000000.000000,Auto
Sweep Type,Continuous
Sweep Mode,Auto
Sweep Rule,Speed
PreAmp State,ON
Ref Level,-4.000000000e+01
Attenuation,2,Manual
Trigger Source,FreeRun
Trigger Level,+0.000000000e+00
External Trigger Edge,FALL
Video Trigger Edge,FALL
Marker Information
Marker,Trace,Type,X Axis,Amplitude
Trace Math,0
Trace Variable X,Trace A
Trace Variable Y,Trace B
Trace Variable Z,Trace C
Trace Name,Trace A,Trace B,Trace C
Trace Type,View,View,View
Trace Detector,Pos Peak,Pos Peak,Pos Peak
Trace Data
1.126000e+09,-1.000117e+02,-9.784074e+01,-9.688524e+01
1.127000e+09,-9.998473e+01,-9.766354e+01,-9.671998e+01
1.128000e+09,-1.000262e+02,-9.769762e+01,-9.651399e+01
1.129000e+09,-9.975638e+01,-9.759053e+01,-9.651630e+01
1.130000e+09,-1.000969e+02,-9.736081e+01,-9.597391e+01
1.131000e+09,-9.974338e+01,-9.749347e+01,-9.581464e+01
1.132000e+09,-9.997728e+01,-9.736099e+01,-9.560412e+01
1.133000e+09,-1.001255e+02,-9.750682e+01,-9.554281e+01
1.134000e+09,-1.002083e+02,-9.740385e+01,-9.466808e+01
1.135000e+09,-1.000298e+02,-9.704561e+01,-9.470695e+01
1.136000e+09,-1.000088e+02,-9.720440e+01,-9.395753e+01
1.137000e+09,-9.966153e+01,-9.689117e+01,-9.413918e+01
1.138000e+09,-9.991264e+01,-9.689779e+01,-9.360244e+01
1.139000e+09,-9.977599e+01,-9.713368e+01,-9.314446e+01
1.140000e+09,-9.980400e+01,-9.692515e+01,-9.283938e+01
1.141000e+09,-1.000329e+02,-9.679996e+01,-9.202568e+01
1.142000e+09,-9.985609e+01,-9.681531e+01,-9.134498e+01
1.143000e+09,-9.984537e+01,-9.680247e+01,-9.096346e+01
1.144000e+09,-9.968626e+01,-9.630884e+01,-9.093152e+01
1.145000e+09,-9.971741e+01,-9.690335e+01,-8.996423e+01
1.146000e+09,-9.978259e+01,-9.692213e+01,-8.984468e+01
1.147000e+09,-9.985334e+01,-9.676926e+01,-8.916134e+01
1.148000e+09,-9.986401e+01,-9.676550e+01,-8.875748e+01
1.149000e+09,-9.971519e+01,-9.635336e+01,-8.832885e+01
1.150000e+09,-1.000229e+02,-9.660055e+01,-8.779757e+01
1.151000e+09,-9.968477e+01,-9.625182e+01,-8.774214e+01
1.152000e+09,-9.960467e+01,-9.620258e+01,-8.747064e+01
1.153000e+09,-9.967746e+01,-9.625054e+01,-8.730919e+01
1.154000e+09,-1.000312e+02,-9.640999e+01,-8.697392e+01
1.155000e+09,-9.973700e+01,-9.590910e+01,-8.676991e+01
1.156000e+09,-9.984269e+01,-9.606289e+01,-8.656460e+01
1.157000e+09,-9.986873e+01,-9.577829e+01,-8.659481e+01
1.158000e+09,-9.979692e+01,-9.584237e+01,-8.618703e+01
1.159000e+09,-9.982571e+01,-9.562070e+01,-8.602642e+01
1.160000e+09,-9.983773e+01,-9.596758e+01,-8.595536e+01
1.161000e+09,-1.001523e+02,-9.561272e+01,-8.559732e+01
1.162000e+09,-9.988300e+01,-9.561082e+01,-8.528824e+01
1.163000e+09,-9.995084e+01,-9.575293e+01,-8.520880e+01
1.164000e+09,-9.967202e+01,-9.535380e+01,-8.518220e+01
1.165000e+09,-9.975379e+01,-9.544245e+01,-8.491746e+01
1.166000e+09,-9.969244e+01,-9.550018e+01,-8.457507e+01
1.167000e+09,-9.970618e+01,-9.564974e+01,-8.453491e+01
1.168000e+09,-9.964369e+01,-9.552047e+01,-8.437411e+01
1.169000e+09,-1.000740e+02,-9.545154e+01,-8.422871e+01
1.170000e+09,-9.994245e+01,-9.540136e+01,-8.406105e+01
1.171000e+09,-9.994782e+01,-9.559621e+01,-8.389100e+01
1.172000e+09,-1.000317e+02,-9.535538e+01,-8.367331e+01
1.173000e+09,-9.978599e+01,-9.526078e+01,-8.356491e+01
1.174000e+09,-9.975104e+01,-9.536501e+01,-8.349017e+01
1.175000e+09,-9.985154e+01,-9.534075e+01,-8.322766e+01
1.176000e+09,-9.978826e+01,-9.557951e+01,-8.307745e+01
1.177000e+09,-9.951459e+01,-9.504816e+01,-8.291036e+01
1.178000e+09,-9.962336e+01,-9.508982e+01,-8.268117e+01
