Machine Module,SSA3021X
Y Axis Scale,LOG
Y Axis Unit,dBm
Impedance,50
Number of Points,751
Sweep Time(s),0.258000,Auto
Start Frequency,+1.155000000e+09
Stop Frequency,+1.655000000e+09
Offset Frequency,+0.000000000e+00
Average Type,Log Pwr
RBW,1000000.000000,Manual
VBW,30000.000000,Manual
Sweep Type,Continuous
Sweep Mode,Auto
Sweep Rule,Speed
PreAmp State,ON
Ref Level,-4.000000000e+01
Attenuation,0,Manual
Trigger Source,FreeRun
Trigger Level,+0.000000000e+00
External Trigger Edge,FALL
Video Trigger Edge,FALL
Marker Information
Marker,Trace,Type,X Axis,Amplitude
Trace Math,0
Trace Variable X,Trace A
Trace Variable Y,Trace B
Trace Variable Z,Trace C
1.244333e+09,-7.129883e+01,-6.303711e+01
1.245000e+09,-7.133789e+01,-5.924805e+01
1.245667e+09,-7.129395e+01,-6.140137e+01
1.246333e+09,-7.127441e+01,-6.511230e+01
1.247000e+09,-7.125000e+01,-6.636230e+01
1.247667e+09,-7.065918e+01,-6.678711e+01
1.248333e+09,-7.043457e+01,-6.693848e+01
1.249000e+09,-7.082520e+01,-6.862305e+01
1.249667e+09,-7.063477e+01,-6.931641e+01
1.250333e+09,-7.051270e+01,-6.983398e+01
1.251000e+09,-7.037109e+01,-7.011230e+01
1.251667e+09,-7.068848e+01,-7.018066e+01
1.252333e+09,-7.085938e+01,-7.035645e+01
1.253000e+09,-7.105957e+01,-7.018555e+01
1.253667e+09,-7.128906e+01,-7.049316e+01
1.254333e+09,-7.143555e+01,-7.080078e+01
1.255000e+09,-7.139160e+01,-7.079102e+01
1.255667e+09,-7.126953e+01,-7.106934e+01
1.256333e+09,-6.989746e+01,-7.067383e+01
1.257000e+09,-7.130371e+01,-7.049316e+01
1.257667e+09,-7.110352e+01,-7.054199e+01
1.258333e+09,-7.130859e+01,-7.053711e+01
1.259000e+09,-7.102051e+01,-7.023438e+01
1.259667e+09,-7.094238e+01,-7.018555e+01
1.260333e+09,-7.083496e+01,-7.021973e+01
1.261000e+09,-7.089844e+01,-7.038574e+01
1.261667e+09,-7.106445e+01,-7.062012e+01
1.262333e+09,-7.101074e+01,-7.058105e+01
1.263000e+09,-7.142578e+01,-7.071777e+01
1.263667e+09,-7.186035e+01,-7.037598e+01
1.264333e+09,-7.189941e+01,-7.027832e+01
1.265000e+09,-7.173340e+01,-6.997559e+01
1.265667e+09,-7.182129e+01,-6.982422e+01
1.266333e+09,-7.113770e+01,-6.959961e+01
1.267000e+09,-7.118652e+01,-6.943359e+01
1.267667e+09,-7.063477e+01,-6.920410e+01
1.268333e+09,-7.077637e+01,-6.891602e+01
1.269000e+09,-7.066406e+01,-6.895020e+01
1.269667e+09,-7.101074e+01,-6.885254e+01
1.270333e+09,-7.124512e+01,-6.931641e+01
1.271000e+09,-7.150879e+01,-6.964844e+01
1.271667e+09,-7.191895e+01,-7.034180e+01
1.272333e+09,-7.242676e+01,-7.078613e+01
1.273000e+09,-7.247070e+01,-7.147461e+01
1.273667e+09,-7.305664e+01,-7.184570e+01
1.274333e+09,-7.310059e+01,-7.216797e+01
1.275000e+09,-7.279297e+01,-7.291016e+01
1.275667e+09,-7.317871e+01,-7.311523e+01
1.276333e+09,-7.296387e+01,-7.270508e+01
1.277000e+09,-7.271484e+01,-7.267090e+01
1.277667e+09,-7.234375e+01,-7.201172e+01
1.278333e+09,-7.198242e+01,-7.219727e+01
1.279000e+09,-7.199707e+01,-7.225586e+01
1.279667e+09,-7.220215e+01,-7.227539e+01
1.280333e+09,-7.233887e+01,-7.243164e+01
1.281000e+09,-7.278320e+01,-7.290527e+01
1.281667e+09,-7.334473e+01,-7.320312e+01
1.282333e+09,-7.358887e+01,-7.326660e+01
1.283000e+09,-7.409668e+01,-7.340820e+01
1.283667e+09,-7.423828e+01,-7.375000e+01
1.284333e+09,-7.464355e+01,-7.364258e+01
1.285000e+09,-7.477051e+01,-7.376953e+01
1.285667e+09,-7.452637e+01,-7.375977e+01
1.286333e+09,-7.428711e+01,-7.377930e+01
1.287000e+09,-7.442383e+01,-7.394531e+01
1.287667e+09,-7.409180e+01,-7.379395e+01
1.288333e+09,-7.393066e+01,-7.353516e+01
1.289000e+09,-7.338379e+01,-7.357910e+01
1.289667e+09,-7.250977e+01,-7.203613e+01
1.290333e+09,-6.986816e+01,-6.708496e+01
1.291000e+09,-7.071289e+01,-7.000000e+01
1.291667e+09,-7.369629e+01,-7.356934e+01
1.292333e+09,-7.376953e+01,-7.386230e+01
1.293000e+09,-7.437500e+01,-7.389160e+01
1.293667e+09,-7.445801e+01,-7.395020e+01
1.294333e+09,-7.391602e+01,-7.296875e+01
1.295000e+09,-7.273926e+01,-7.124023e+01
1.295667e+09,-7.425293e+01,-7.319824e+01
1.296333e+09,-7.443848e+01,-7.364746e+01
1.297000e+09,-7.450195e+01,-7.409180e+01
1.297667e+09,-7.464844e+01,-7.381836e+01
1.298333e+09,-7.467285e+01,-7.390137e+01
1.299000e+09,-7.468262e+01,-7.386230e+01
1.299667e+09,-7.454102e+01,-7.392090e+01
1.300333e+09,-7.415039e+01,-7.349121e+01
1.301000e+09,-7.435059e+01,-7.310059e+01
1.301667e+09,-7.402344e+01,-7.323242e+01
1.302333e+09,-7.401367e+01,-7.338379e+01
1.303000e+09,-7.381348e+01,-7.312988e+01
1.303667e+09,-7.371094e+01,-7.318359e+01
1.304333e+09,-7.383789e+01,-7.316406e+01
1.305000e+09,-7.360840e+01,-7.304199e+01
1.305667e+09,-7.348633e+01,-7.286621e+01
1.306333e+09,-7.355957e+01,-7.280273e+01
1.307000e+09,-7.345703e+01,-7.283203e+01
1.307667e+09,-7.347656e+01,-7.269531e+01
1.308333e+09,-7.354980e+01,-7.278320e+01
1.309000e+09,-7.328125e+01,-7.285645e+01
1.309667e+09,-7.340332e+01,-7.268066e+01
1.310333e+09,-7.358887e+01,-7.248047e+01
1.311000e+09,-7.313477e+01,-7.238281e+01
1.311667e+09,-7.328125e+01,-7.238770e+01
1.312333e+09,-7.297363e+01,-7.204590e+01
1.313000e+09,-7.275391e+01,-7.203125e+01
1.313667e+09,-7.267578e+01,-7.192383e+01
1.314333e+09,-7.282715e+01,-7.198242e+01
1.315000e+09,-7.268555e+01,-7.198242e+01
1.315667e+09,-7.261719e+01,-7.224609e+01
1.316333e+09,-7.250488e+01,-7.189941e+01
1.317000e+09,-7.245117e+01,-7.206543e+01
1.317667e+09,-7.267578e+01,-7.195312e+01
1.318333e+09,-7.264160e+01,-7.206543e+01
1.319000e+09,-7.262695e+01,-7.206055e+01
1.319667e+09,-7.289062e+01,-7.189453e+01
1.320333e+09,-7.278809e+01,-7.185059e+01
1.321000e+09,-7.297852e+01,-7.231445e+01
1.321667e+09,-7.290527e+01,-7.236328e+01
1.322333e+09,-7.294922e+01,-7.238770e+01
1.323000e+09,-7.289062e+01,-7.236816e+01
1.323667e+09,-7.269531e+01,-7.236328e+01
1.324333e+09,-7.312012e+01,-7.242188e+01
1.325000e+09,-7.269043e+01,-7.240723e+01
1.325667e+09,-7.279785e+01,-7.199707e+01
1.326333e+09,-7.291992e+01,-7.223145e+01
1.327000e+09,-7.290039e+01,-7.198242e+01
1.327667e+09,-7.291992e+01,-7.212402e+01
1.328333e+09,-7.280762e+01,-7.238281e+01
1.329000e+09,-7.297363e+01,-7.231934e+01
1.329667e+09,-7.307129e+01,-7.214355e+01
1.330333e+09,-7.298340e+01,-7.254395e+01
1.331000e+09,-7.329102e+01,-7.254883e+01
1.331667e+09,-7.310059e+01,-7.250977e+01
1.332333e+09,-7.319824e+01,-7.262695e+01
1.333000e+09,-7.310547e+01,-7.223633e+01
1.333667e+09,-7.343750e+01,-7.251465e+01
1.334333e+09,-7.360840e+01,-7.281250e+01
1.335000e+09,-7.320801e+01,-7.284668e+01
1.335667e+09,-7.343262e+01,-7.278809e+01
1.336333e+09,-7.315918e+01,-7.280762e+01
1.337000e+09,-7.315430e+01,-7.289551e+01
1.337667e+09,-7.336914e+01,-7.260742e+01
1.338333e+09,-7.337891e+01,-7.265137e+01
1.339000e+09,-7.345703e+01,-7.266602e+01
