Machine Module,SSA3021X
Y Axis Scale,LOG
Y Axis Unit,dBm
Impedance,50
Number of Points,751
Sweep Time(s),0.258000,Auto
Start Frequency,+1.155000000e+09
Stop Frequency,+1.655000000e+09
Offset Frequency,+0.000000000e+00
Average Type,Log Pwr
RBW,1000000.000000,Manual
VBW,30000.000000,Manual
Sweep Type,Continuous
Sweep Mode,Auto
Sweep Rule,Speed
PreAmp State,ON
Ref Level,-4.000000000e+01
Attenuation,0,Manual
Trigger Source,FreeRun
Trigger Level,+0.000000000e+00
External Trigger Edge,FALL
Video Trigger Edge,FALL
Marker Information
Marker,Trace,Type,X Axis,Amplitude
Trace Math,0
Trace Variable X,Trace A
Trace Variable Y,Trace B
Trace Variable Z,Trace C
1.349000e+09,-7.279297e+01,-7.256836e+01
1.349667e+09,-7.251953e+01,-7.194824e+01
1.350333e+09,-7.262207e+01,-7.184082e+01
1.351000e+09,-7.287598e+01,-7.251953e+01
1.351667e+09,-7.257324e+01,-7.251465e+01
1.352333e+09,-7.283203e+01,-7.219238e+01
1.353000e+09,-7.275879e+01,-7.220703e+01
1.353667e+09,-7.263672e+01,-7.208984e+01
1.354333e+09,-7.270996e+01,-7.194336e+01
1.355000e+09,-7.264160e+01,-7.207520e+01
1.355667e+09,-7.247070e+01,-7.203613e+01
1.356333e+09,-7.257812e+01,-7.208008e+01
1.357000e+09,-7.232422e+01,-7.201172e+01
1.357667e+09,-7.234375e+01,-7.192871e+01
1.358333e+09,-7.260742e+01,-7.166504e+01
1.359000e+09,-7.249512e+01,-7.160645e+01
1.359667e+09,-7.240723e+01,-7.197266e+01
1.360333e+09,-7.219727e+01,-7.171387e+01
1.361000e+09,-7.223145e+01,-7.155273e+01
1.361667e+09,-7.237305e+01,-7.162109e+01
1.362333e+09,-7.192871e+01,-7.171387e+01
1.363000e+09,-7.237305e+01,-7.182617e+01
1.363667e+09,-7.198730e+01,-7.184570e+01
1.364333e+09,-7.230957e+01,-7.150879e+01
1.365000e+09,-7.213867e+01,-7.143555e+01
1.365667e+09,-7.198730e+01,-7.163086e+01
1.366333e+09,-7.238281e+01,-7.134277e+01
1.367000e+09,-7.202148e+01,-7.168457e+01
1.367667e+09,-7.198730e+01,-7.184570e+01
1.368333e+09,-7.238281e+01,-7.168457e+01
1.369000e+09,-7.209961e+01,-7.131836e+01
1.369667e+09,-7.220703e+01,-7.137207e+01
1.370333e+09,-7.201660e+01,-7.160645e+01
1.371000e+09,-7.231445e+01,-7.137207e+01
1.371667e+09,-7.183105e+01,-7.167480e+01
1.372333e+09,-7.218262e+01,-7.197754e+01
1.373000e+09,-7.259277e+01,-7.195312e+01
1.373667e+09,-7.247070e+01,-7.178711e+01
1.374333e+09,-7.274902e+01,-7.187988e+01
1.375000e+09,-7.211914e+01,-7.183594e+01
1.375667e+09,-7.259766e+01,-7.200195e+01
1.376333e+09,-7.319336e+01,-7.207520e+01
1.377000e+09,-7.279785e+01,-7.226074e+01
1.377667e+09,-7.302246e+01,-7.239746e+01
1.378333e+09,-7.296875e+01,-7.192871e+01
1.379000e+09,-7.304688e+01,-7.270020e+01
1.379667e+09,-7.286621e+01,-7.276855e+01
1.380333e+09,-7.297363e+01,-7.267578e+01
1.381000e+09,-7.334473e+01,-7.284180e+01
1.381667e+09,-7.317383e+01,-7.301270e+01
1.382333e+09,-7.356934e+01,-7.272461e+01
1.383000e+09,-7.367188e+01,-7.280273e+01
1.383667e+09,-7.349121e+01,-7.286133e+01
1.384333e+09,-7.359375e+01,-7.290527e+01
1.385000e+09,-7.368652e+01,-7.306152e+01
1.385667e+09,-7.347168e+01,-7.312012e+01
1.386333e+09,-7.377441e+01,-7.314941e+01
1.387000e+09,-7.371582e+01,-7.319336e+01
1.387667e+09,-7.401367e+01,-7.323730e+01
1.388333e+09,-7.388672e+01,-7.285156e+01
1.389000e+09,-7.369141e+01,-7.331543e+01
1.389667e+09,-7.390625e+01,-7.324707e+01
1.390333e+09,-7.402344e+01,-7.353027e+01
1.391000e+09,-7.383301e+01,-7.294434e+01
1.391667e+09,-7.423828e+01,-7.353027e+01
1.392333e+09,-7.415527e+01,-7.340332e+01
1.393000e+09,-7.431641e+01,-7.316406e+01
1.393667e+09,-7.403320e+01,-7.325195e+01
1.394333e+09,-7.427246e+01,-7.330078e+01
1.395000e+09,-7.413574e+01,-7.330078e+01
1.395667e+09,-7.401855e+01,-7.369141e+01
1.396333e+09,-7.409668e+01,-7.359375e+01
1.397000e+09,-7.400391e+01,-7.367188e+01
1.397667e+09,-7.422852e+01,-7.322266e+01
1.398333e+09,-7.372559e+01,-7.365723e+01
1.399000e+09,-7.424805e+01,-7.355957e+01
1.399667e+09,-7.388672e+01,-7.341797e+01
